U5a3f,娿,啊
U5a40,婀,阿
U9900,餀,哎
U5443,呃,唉
U5a51,婑,矮
U92b0,銰,艾
U5b21,嬡,爱
U9b9f,鮟,安
U5535,唵,俺
U6d1d,洝,按
U663b,昻,昂
U7353,獓,敖
U4ef8,仸,袄
U8b38,謸,傲
U5967,奧,奥
U8956,襖,懊
U5967,奧,澳
U5991,妑,芭
U6733,朳,扒
U6733,朳,叭
U5991,妑,吧
U4ec8,仈,八
U5991,妑,巴
U83dd,菝,拔
U67ed,柭,跋
U5991,妑,把
U8987,覇,霸
U5991,妑,爸
U769b,皛,白
U549f,咟,百
U64fa,擺,摆
U6557,敗,败
U6e43,湃,拜
U764d,癍,斑
U764d,癍,班
U7622,瘢,般
U9812,頒,颁
U95c6,闆,板
U8742,蝂,版
U6c7e,汾,扮
U7d46,絆,拌
U67c8,柈,伴
U67c8,柈,半
U5205,刅,办
U7d81,綁,邦
U5e47,幇,帮
U5fac,徬,榜
U5ace,嫎,膀
U57b9,垹,绑
U872f,蜯,棒
U5ace,嫎,磅
U5fac,徬,傍
U83e2,菢,胞
U7b23,笣,包
U525d,剝,剥
U6e7a,湺,保
U6009,怉,饱
U5bf6,寶,宝
U7832,砲,抱
U8554,蕔,报
U61ea,懪,暴
U5697,嚗,爆
U67f8,柸,杯
U855c,蕜,悲
U8406,萆,卑
U82dd,苝,北
U8f29,輩,辈
U63f9,揹,背
U8d51,赑,贝
U4ffb,俻,倍
U5099,備,备
U6e00,渀,奔
U5932,夲,本
U82ef,苯,笨
U955a,镚,崩
U5623,嘣,蹦
U902c,逬,迸
U8177,腷,逼
U5b36,嬶,鼻
U4ef3,仳,比
U555a,啚,鄙
U6be3,毣,笔
U5e63,幣,蔽
U6eed,滭,毕
U6583,斃,毙
U9589,閉,闭
U7359,獙,敝
U602d,怭,必
U6fbc,澼,辟
U9434,鐴,避
U7b3e,笾,边
U63d9,揙,编
U8cb6,貶,贬
U78a5,碥,扁
U6969,楩,便
U8b8a,變,变
U8fa7,辧,辨
U8fae,辮,辩
U8fae,辮,辫
U7335,猵,遍
U647d,摽,标
U6eee,滮,彪
U93e2,鏢,膘
U9336,錶,表
U8382,莂,别
U765f,癟,瘪
U74b8,璸,滨
U6ff1,濱,宾
U5a26,娦,兵
U6824,栤,冰
U7a89,窉,柄
U772a,眪,丙
U7592,疒,病
U4e26,並,并
U7ba5,箥,玻
U8b52,譒,播
U59ad,妭,拨
U83e0,菠,波
U8a24,訤,驳
U5cec,峬,捕
U8aa7,誧,哺
U535f,卟,补
U82a3,芣,不
U923d,鈽,布
U8379,荹,步
U8500,蔀,部
U6503,攃,擦
U8ca1,財,材
U8ca1,財,才
U8ca1,財,财
U68cc,棌,睬
U68cc,棌,踩
U57f0,埰,彩
U5a47,婇,菜
U7218,爘,餐
U50aa,傪,参
U86ec,蛬,蚕
U6b98,殘,残
U6159,慙,惭
U53c3,參,惨
U82b2,芲,苍
U4efa,仺,仓
U734a,獊,沧
U8535,蔵,藏
U61c6,懆,操
U9430,鐰,糙
U84f8,蓸,曹
U613a,愺,草
U53a0,厠,厕
U61a1,憡,策
U5074,側,侧
U518a,冊,册
U607b,恻,测
U5c64,層,层
U7af2,竲,蹭
U63f7,揷,插
U7d01,紁,叉
U55cf,嗏,茶
U6942,楂,查
U6942,楂,碴
U9572,镲,察
U69ce,槎,差
U6788,枈,柴
U50aa,傪,掺
U9575,镵,馋
U700d,瀍,缠
U6d50,浐,产
U95e1,闡,阐
U986b,顫,颤
U8aaf,誯,昌
U757c,畼,场
U751e,甞,尝
U747a,瑺,常
U8407,萇,长
U5ee0,廠,厂
U667f,晿,唱
U8dab,趫,超
U838f,莏,抄
U9214,鈔,钞
U8b3f,謿,朝
U8b3f,謿,嘲
U8b3f,謿,潮
U6f05,漅,巢
U8a2c,訬,吵
U8eca,車,车
U5fb9,徹,撤
U6c8f,沏,彻
U77ae,瞮,澈
U70e5,烥,臣
U5bb8,宸,辰
U66df,曟,晨
U5197,冗,沉
U9673,陳,陈
U6490,撐,撑
U7a31,稱,称
U5cf8,峸,城
U837f,荿,成
U73f5,珵,呈
U5856,塖,乘
U73f5,珵,程
U61f2,懲,惩
U50dc,僜,澄
U8af4,諴,诚
U6d67,浧,逞
U9623,阣,吃
U6b6d,歭,持
U8094,肔,池
U544e,呎,迟
U8094,肔,弛
U8094,肔,驰
U6065,恥,耻
U6b6f,歯,齿
U544e,呎,尺
U54e7,哧,赤
U8d90,趐,翅
U833a,茺,充
U6c96,沖,冲
U87f2,蟲,虫
U6f34,漴,崇
U5bf5,寵,宠
U83d7,菗,抽
U7d52,絒,酬
U5e31,帱,畴
U5e31,帱,踌
U5a64,婤,稠
U50fd,僽,愁
U85b5,薵,筹
U7697,皗,绸
U5ff8,忸,丑
U6eb4,溴,臭
U70aa,炪,出
U5eda,廚,橱
U5eda,廚,厨
U92e4,鋤,锄
U96db,雛,雏
U84a2,蒢,滁
U7be8,篨,除
U6918,椘,楚
U7ecc,绌,础
U8655,處,处
U9044,遄,揣
U5ddb,巛,川
U744f,瑏,穿
U4f1d,伝,传
U9044,遄,喘
U8cd7,賗,串
U56f1,囱,窗
U95d6,闖,闯
U5275,創,创
U6b25,欥,吹
U8144,腄,捶
U8144,腄,锤
U7ba0,箠,垂
U8202,舂,春
U931e,錞,醇
U8123,脣,唇
U931e,錞,淳
U8493,蒓,纯
U6225,戥,戳
U712f,焯,绰
U5790,垐,茨
U6fe8,濨,磁
U8fad,辭,辞
U6fe8,濨,慈
U8a5e,詞,词
U6cda,泚,此
U524c,剌,刺
U8cdc,賜,赐
U4f7d,佽,次
U8310,茐,葱
U8310,茐,匆
U82c1,苁,从
U82c1,苁,丛
U9f70,齰,醋
U5a16,娖,促
U51d7,凗,摧
U615b,慛,崔
U615b,慛,催
U6fe2,濢,粹
U6fe2,濢,淬
U6fe2,濢,翠
U7c7f,籿,村
U6d0a,洊,存
U7c7f,籿,寸
U9aca,髊,搓
U63aa,措,错
U6e9a,溚,搭
U57af,垯,达
U8345,荅,答
U5491,咑,打
U6c4f,汏,大
U69d1,槑,呆
U703b,瀻,戴
U5e36,帶,带
U7b29,笩,代
U66c3,曃,逮
U6cf9,泹,担
U5184,冄,丹
U5574,啴,单
U72da,狚,胆
U72da,狚,旦
U6cf9,泹,但
U60d4,惔,淡
U758d,疍,蛋
U7576,當,当
U6fa2,澢,挡
U9ee8,黨,党
U8569,蕩,荡
U6fa2,澢,档
U53e8,叨,刀
U6417,搗,捣
U7a32,稲,蹈
U7b8c,箌,倒
U5cf6,島,岛
U83ff,菿,到
U7a32,稲,稻
U6aa4,檤,道
U76dc,盜,盗
U5fb3,徳,德
U561a,嘚,得
U54cb,哋,的
U7c26,簦,蹬
U71c8,燈,灯
U6195,憕,登
U7c26,簦,瞪
U90f0,郰,邓
U8adf,諟,堤
U5f7d,彽,低
U5600,嘀,滴
U5ef8,廸,迪
U6575,敵,敌
U5ef8,廸,笛
U75a7,疧,底
U54cb,哋,地
U6e27,渧,蒂
U82d0,苐,第
U6e27,渧,帝
U5f1a,弚,弟
U9ede,點,点
U655f,敟,典
U96fb,電,电
U6242,扂,店
U6dcd,淍,碉
U6c48,汈,叼
U9d70,鵰,雕
U8729,蜩,凋
U92fd,鋽,掉
U94de,铞,吊
U92b1,銱,钓
U8729,蜩,调
U74de,瓞,跌
U55f2,嗲,爹
U6e2b,渫,碟
U6e2b,渫,蝶
U5a9f,媟,谍
U7589,疉,叠
U738e,玎,丁
U9964,饤,盯
U6c40,汀,叮
U753a,町,钉
U5d7f,嵿,顶
U8423,萣,定
U5fca,忊,订
U4e1f,丟,丢
U5d2c,崬,东
U7b17,笗,冬
U84f3,蓳,董
U616c,慬,懂
U6185,憅,动
U5d2c,崬,栋
U5cbd,岽,冻
U72ea,狪,洞
U5160,兠,兜
U9b26,鬦,抖
U4e67,乧,斗
U8dff,跿,陡
U8373,荳,豆
U6d62,浢,逗
U54e3,哣,痘
U561f,嘟,都
U6bd0,毐,毒
U6e0e,渎,犊
U7368,獨,独
U6e0e,渎,读
U967c,陼,堵
U5e3e,帾,赌
U8370,荰,杜
U55a5,喥,度
U55a5,喥,渡
U9374,鍴,端
U846e,葮,锻
U846e,葮,段
U65b7,斷,断
U846e,葮,缎
U7893,碓,堆
U514c,兌,兑
U968a,隊,队
U603c,怼,对
U6c8c,沌,吨
U58ff,壿,蹲
